"","activity","subject","Body Accl Mag Mean","Grav Accl Mag Mean","Body Accl Jerk Mag Mean","Body Gyro Mag Mean","Body Gyro Jerk Mag Mean","Body Freq Accl Mag Mean","Body Freq Accl Mag Wt Mean By Freq","Body Freq Accl Jerk Mag Mean","Body Freq Accl Jerk Mag Wt Mean By Freq","Body Freq Gyro Mag Mean","Body Freq Gyro Mag Wt Mean By Freq","Body Freq Gyro Jerk Mag Mean","Body Freq Gyro Jerk Mag Wt Mean By Freq","Body Accl Mag Std Dev","Grav Accl Mag Std Dev","Body Accl Jerk Mag Std Dev","Body Gyro Mag Std Dev","Body Gyro Jerk Mag Std Dev","Body Freq Accl Mag Std Dev","Body Freq Accl Jerk Mag Std Dev","Body Freq Gyro Mag Std Dev","Body Freq Gyro Jerk Mag Std Dev"
"1","LAYING",1,-0.79190412196,-0.79190412196,-0.84532917408,-0.8182793591,-0.8903921476,-0.81674443132,-0.018798476216,-0.8447994128,0.21498542901,-0.8523327278,-0.09096806404,-0.9013310718,0.0905058314984,-0.81397500864,-0.81397500864,-0.849591038,-0.8354508076,-0.89837316,-0.841865084,-0.8564582994,-0.8531283288,-0.9020120864
"2","LAYING",2,-0.0918141078154167,-0.0918141078154167,-0.3879532114,-0.196121166547917,-0.581563664375,-0.206981596479167,-0.06127199046125,-0.357263543560417,0.0356602170854167,-0.463327510479167,-0.108503660552083,-0.615542733541667,0.1254073409375,-0.202015930791667,-0.202015930791667,-0.388622682495833,-0.389199333758333,-0.629853126104167,-0.330518243104167,-0.438251507020833,-0.450909839895833,-0.677182484583333
"3","LAYING",3,-0.675193166435484,-0.675193166435484,-0.740666737653226,-0.709182769354839,-0.821677439622581,-0.710512610258065,0.0737820392189193,-0.729735624822581,0.162052073581935,-0.7595363035,-0.0630267210903226,-0.827460549564516,0.109609658016129,-0.720066135975484,-0.720066135975484,-0.730448418016129,-0.725356933553226,-0.81797624983871,-0.77021678066129,-0.732711501017742,-0.75118621616129,-0.819469491774194
"4","LAYING",4,-0.130986830455556,-0.130986830455556,-0.367704542344444,-0.249215868662963,-0.591044130555556,-0.209938183888889,-0.0134657770281481,-0.303775529566667,0.0184691234333333,-0.469152455666667,-0.0732719403833333,-0.623999553481482,0.11108612447037,-0.223531945314815,-0.223531945314815,-0.327260066851852,-0.396941780633333,-0.633515991092593,-0.355459737896296,-0.36508265536037,-0.45695067737037,-0.673587581666667
"5","LAYING",5,-0.884179067634615,-0.884179067634615,-0.909049457019231,-0.88301782625,-0.934980010576923,-0.904090461307692,0.118162379671769,-0.904937625576923,0.26987762145,-0.907593942307692,-0.0942668114,-0.940465812692308,0.177549278684615,-0.903194859615385,-0.903194859615385,-0.9040118975,-0.887044680192308,-0.940177747115385,-0.917313230769231,-0.902391340961539,-0.893798768076923,-0.943800209615385
"6","LAYING",6,-0.842401390061403,-0.842401390061403,-0.873257748933333,-0.842091253859649,-0.912506938421053,-0.844989447964912,0.189181131175439,-0.85524674831579,0.255308676733333,-0.861532113859649,-0.0917760939859649,-0.908805339824561,0.103643186087719,-0.85260654868421,-0.85260654868421,-0.856970550175439,-0.83907210877193,-0.906389990877193,-0.880239131754386,-0.859772121052632,-0.853306760877193,-0.909963731052632
"7","LAYING",7,-0.867449364967115,-0.867449364967115,-0.900889299423077,-0.879638809807692,-0.937128881538462,-0.882469951153846,0.118079396165385,-0.897078551346154,0.343965485115385,-0.914733739038462,-0.0723234715,-0.946808613076923,0.182186988640385,-0.878822798461538,-0.878822798461538,-0.897385447307692,-0.893775395192308,-0.946268836346154,-0.895414909769231,-0.897807797692308,-0.899902208076923,-0.949535788846154
"8","LAYING",8,-0.894773833203704,-0.894773833203704,-0.922382761537037,-0.897595927981481,-0.94726083,-0.900514498703704,0.233954665062963,-0.912050070555556,0.35366991577,-0.924293050925926,-0.0588771037222222,-0.950088280555556,0.20360978162963,-0.898640572037037,-0.898640572037037,-0.917551537777778,-0.908895048333333,-0.950335502222222,-0.912841807592593,-0.924632754814815,-0.915776498333333,-0.953869921851852
"9","LAYING",9,-0.08146021318,-0.08146021318,-0.26482001674,-0.201515318446,-0.50965242008,-0.15635394052,0.073961128596,-0.17905647778,0.07319523124,-0.3973090015,0.028428657974,-0.54209861994,0.095711926364,-0.19306865662,-0.19306865662,-0.19932265684,-0.3390290686,-0.536842598748,-0.34226812416,-0.23232329702,-0.4181540966,-0.5645812149
"10","LAYING",10,-0.23118338035,-0.23118338035,-0.395430635465517,-0.339807664982759,-0.588041540206897,-0.298514435103448,0.00947399441551724,-0.346888478531379,0.0447626050517241,-0.507952775758621,-0.0105427060603448,-0.619922692189655,0.0521980610818966,-0.316409123327586,-0.316409123327586,-0.355658770606379,-0.461455801896552,-0.613683748164483,-0.436711932586207,-0.37411245762069,-0.528223474310345,-0.634702296568965
"11","LAYING",11,-0.845164578491228,-0.845164578491228,-0.874265377017544,-0.865937449789474,-0.919684125438596,-0.840720136198246,0.167055838894737,-0.856382448491228,0.288910173085965,-0.887893936421053,-0.087230709754386,-0.924240994035088,0.210105189778947,-0.844014100807018,-0.844014100807018,-0.86062235768421,-0.87188486122807,-0.926635960175439,-0.870043261508772,-0.867057461442105,-0.884037723859649,-0.935331818421053
"12","LAYING",12,-0.260970277183333,-0.260970277183333,-0.414556852133333,-0.3294989935,-0.613069856466667,-0.35647106403,0.0323079628466667,-0.374370295605,0.102371298032667,-0.514297665133333,-0.0341887378921667,-0.6587901247,0.0858873788348333,-0.378531012816667,-0.378531012816667,-0.386377682551667,-0.445234966366667,-0.652673015666667,-0.490598193466667,-0.408464702080667,-0.497652026313333,-0.6708430285
"13","LAYING",13,-0.265042027064516,-0.265042027064516,-0.415983679435484,-0.346768095690806,-0.607636709741936,-0.333241564,0.0450875240677419,-0.360256760716129,0.0583178408854839,-0.50725634,-0.0518951246887097,-0.640844289419355,0.109009822876452,-0.358920929016129,-0.358920929016129,-0.368920385398387,-0.450162523758065,-0.639134030856452,-0.476102563,-0.385830961467742,-0.512020551725806,-0.66347755875
